employee_id,name,gender,discipline,department,code,location,title,supervisor_id,supervisor_name,project_id,project_name,role,SQL,Python,Java,Scala,Apache Spark (PySpark),Apache Spark (Scala),Apache Spark (Java),PL/SQL,PHP,.NET,DevOps,MLOps,DB Oracle,DB Teradata,DB SQL Server,MS Analysis Services,Oracle Hyperion Essbase,SAP BW,Dataset SAS  (SAS Base / SAS DIS),My SQL,DB2,MongoDB,Elasticsearch,Exalead,Apache Solr,PostgreSQL,IBM DataStage,Informatica PowerCenter,Informatica Data Integration Cloud (IDMC),Oracle Data Integration (ODI),MS SQL Server Integration Services (SSIS),SAS Data Integration Services (DIS),Qlik (QDI),Data IKU,Talend,Denodo,Dremio,Apache Kafka,"Hadoop Cloudera / Hortonworks Platform (Hive, Hbase, Impala, Oozie Parquet, BigSQL, Spark, Yarn, Apache Nifi, …)","IBM Big Insight (Hive, Hbase, Impala, Parquet, BigSQL, Spark, Yarn, …)",Palantir Platform,Databricks Platform (inserire le funzionalità native di D.),Snowflake,SAP S/4 HANA Platform,SAP BW,Suite Informatica Data Governance,Informatica MDM,Informatica ILM Data Masking,Suite IBM Data Governance,IBM Optim Data Masking,IBM MDM,Suite SAS Data Governance,Suite Irion Data Governance,Suite Collibra Data Governance,Suite Ab-Initio Data Governance
9301,Marco Bellini,M,I&D,AI and Data Engineering,IT01PR45,BOLOGNA,CONSULTANT,7112,Alberto Conti,8137,Iniziativa Gabbiano,Data Engineer & ETL Specialist,Experienced,Master,Beginner,Beginner,Master,Beginner,Beginner,Experienced,Novice,Novice,Beginner,Novice,Beginner,,Beginner,,,,Beginner,Experienced,,Beginner,,,,Master,,,,,,,,,,,,Experienced,Beginner,,,,,,,,,,,,,,,,
9604,Bianca Marino,F,I&D,AI and Data Engineering,IT01PR45,TORINO,SENIOR CONSULTANT,9550,Valentina Marini,5749,Sistema Plutone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9099,Erika Mancini,F,I&D,AI and Data Engineering,IT01PR45,ROMA,SENIOR CONSULTANT,7112,Alberto Conti,8338,Piattaforma Orione,Data Analyst & Data Modeler,Experienced,,,,,,,Beginner,,,,,Experienced,Beginner,Experienced,,,,,,Experienced,,,,,,,,,,,,,,,,,,Beginner,,,,,,,Beginner,,,,,,,,,
9402,Laura Gallo,F,I&D,AI and Data Engineering,IT01PR45,ROMA,SENIOR CONSULTANT,7112,Alberto Conti,8196,Iniziativa Ulisse,Data Engineer & ETL Specialist,Experienced,,,,,,,Experienced,,,,,Experienced,,,,,,,,,,,,,Beginner,,,,Experienced,,,,,,,,,,,,,,,,,,,,,,,,,
8849,Fabio Greco,M,I&D,AI and Data Engineering,IT01PR45,MILANO,CONSULTANT,7112,Alberto Conti,13632,Programma Rondine,Data Engineer & ETL Specialist,Experienced,Experienced,Beginner,Novice,Experienced,Novice,Novice,Beginner,Novice,Novice,Beginner,Novice,Novice,Novice,Beginner,Novice,Novice,Novice,Novice,Experienced,Beginner,Beginner,Beginner,Novice,Novice,Novice,Novice,Beginner,Beginner,Novice,Beginner,Novice,Novice,Novice,Novice,Novice,Novice,Beginner,Experienced,Novice,Novice,Beginner,Novice,Novice,Novice,Beginner,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice
8400,Emanuele Colombo,M,I&D,AI and Data Engineering,IT01PR45,MARCON,SENIOR CONSULTANT,7112,Alberto Conti,8692,Piattaforma Perseo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8244,Francesco Giordano,M,I&D,AI and Data Engineering,IT01PR45,BOLOGNA,CONSULTANT,9550,Valentina Marini,5749,Sistema Plutone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9425,Giuseppe Costa,M,I&D,,,ROMA,SENIOR CONSULTANT,7112,Alberto Conti,11834,Iniziativa Atlante,Data Analyst & Data Modeler,Experienced,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Experienced,Beginner,Experienced,Novice,Novice,Novice,Novice,Novice,Experienced,Novice,Novice,Novice,Novice,Novice,Beginner,Beginner,Novice,Novice,Beginner,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice
9223,Massimo Santoro,M,I&D,,,ROMA,CONSULTANT,7112,Alberto Conti,15105,Piattaforma Marte,Data Engineer & ETL Specialist,Experienced,Beginner,Novice,Novice,Novice,Novice,Novice,Experienced,Novice,Beginner,Novice,Novice,Experienced,Novice,Experienced,Experienced,Novice,Novice,Novice,Novice,Experienced,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Master,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice
8552,Gianluca Fabbri,M,I&D,AI and Data Engineering,IT01PR45,ROMA,SENIOR CONSULTANT,9550,Valentina Marini,7475,Programma Cassiopea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8547,Martina Ferrari,F,I&D,AI and Data Engineering,IT01PR45,ROMA,CONSULTANT,7112,Alberto Conti,7475,Programma Cassiopea,Data Analyst & Data Modeler,Experienced,,,,,,,Experienced,,,,,Experienced,Experienced,Beginner,,,,,Beginner,Beginner,,,,,,Experienced,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8143,Domenico Barbieri,M,I&D,AI and Data Engineering,IT01PR45,BOLOGNA,ANALYST CONSULTANT,7112,Alberto Conti,9008,Sistema Eolo,Data Engineer & ETL Specialist,Experienced,Beginner,Novice,Novice,Novice,Novice,Novice,Experienced,Novice,Novice,Beginner,Novice,Experienced,Beginner,Experienced,Experienced,Novice,Novice,Novice,Experienced,Beginner,Beginner,Novice,Novice,Novice,Novice,Novice,Experienced,Experienced,Experienced,Experienced,Experienced,Novice,Novice,Experienced,Experienced,Novice,Novice,Beginner,Experienced,Novice,Beginner,Experienced,Novice,Novice,Beginner,Beginner,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice
9794,Chiara Giordano,F,I&D,AI and Data Engineering,IT01PR45,MILANO,CONSULTANT,9550,Valentina Marini,,Progetto Chimera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8663,Francesco Barbieri,M,I&D,AI and Data Engineering,IT01PR45,ROMA,SENIOR CONSULTANT,7112,Alberto Conti,9683,Sistema Atena,Senior Consultant e/o team leader,Master,Novice,Novice,Novice,Novice,Novice,Novice,Master,Novice,Novice,Novice,Novice,Master,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Beginner,Novice,Novice,Novice,Novice,Novice,Beginner,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice
8928,Alberto Mariani,M,I&D,AI and Data Engineering,IT01PR45,ROMA,ANALYST CONSULTANT,7112,Alberto Conti,9386,Sistema Plutone,Data Engineer & SW Developer/Specialist,Experienced,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Beginner,Novice,Beginner,Experienced,Beginner,Novice,Novice,Novice,Beginner,Beginner,Novice,Novice,Novice,Novice,Novice,Novice,Experienced,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice
12310,Pietro Fontana,,I&D,AI and Data Engineering,IT01PR45,MILANO,ANALYST CONSULTANT,9550,Valentina Marini,,Progetto Chimera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8233,Davide Caruso,M,I&D,AI and Data Engineering,IT01PR45,MILANO,ANALYST CONSULTANT,7112,Alberto Conti,10636,Programma Nettuno,Data Analyst & Data Modeler,Experienced,Beginner,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Experienced,Novice,Experienced,Novice,Novice,Novice,Novice,Experienced,Novice,Beginner,Novice,Novice,Novice,Novice,Novice,Experienced,Novice,Novice,Experienced,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice
8725,Matteo Bianchi,M,I&D,,,ROMA,CONSULTANT,7112,Alberto Conti,11873,Iniziativa Edipo,Data Engineer & ETL Specialist,Experienced,Experienced,Experienced,Experienced,Beginner,Beginner,Beginner,Beginner,Experienced,Beginner,Experienced,Experienced,Experienced,Experienced,Experienced,Experienced,Experienced,Experienced,Experienced,Experienced,Beginner,Beginner,Beginner,Novice,Novice,Novice,Master,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Novice,Novice,Novice,Beginner,Beginner,Beginner,Beginner,Novice,Novice,Novice,Beginner,Novice,Novice,Novice,Novice,Beginner,Beginner,Beginner,Beginner,Beginner
9053,Alice Bruno,F,I&D,AI and Data Engineering,IT01PR45,ROMA, CONSULTANT,9550,Valentina Marini,,Progetto Chimera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8937,Alberto Romano,M,I&D,,,ROMA,CONSULTANT,7112,Alberto Conti,8641,Piattaforma Andromeda,Data Engineer & ETL Specialist,Master,Novice,,,,,,Master,,,,,Master,Master,Beginner,,,,,Beginner,,,,,,,Master,Beginner,,,Novice,,,,Beginner,,,,,,,,,,,,,,,,,,,,
9482,Federico Colombo,M,I&D,AI and Data Engineering,IT01PR45,TORINO,MANAGING CONSULTANT,7112,Alberto Conti,8813,Progetto Dedalo,Engagement Manager e/o Project Leader,Master,Novice,Novice,Novice,Novice,Novice,Novice,Experienced,Novice,Novice,Novice,Novice,Experienced,Novice,Experienced,Novice,Novice,Novice,Novice,Beginner,Novice,Novice,Novice,Novice,Novice,Experienced,Experienced,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice
9318,Cristiano Gallo,M,I&D,AI and Data Engineering,IT01PR45,MILANO,CONSULTANT,9550,Valentina Marini,,Progetto Chimera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9015,Domenico Mariani,M,I&D,AI and Data Engineering,IT01PR45,SALERNO,CONSULTANT,9550,Valentina Marini,11553,Programma Giasone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9015,Domenico Mariani,M,I&D,AI and Data Engineering,IT01PR45,MILANO, CONSULTANT,9550,Valentina Marini,,Progetto Chimera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9257,Pietro Marino,M,I&D,AI and Data Engineering,IT01PR45,SALERNO,ANALYST CONSULTANT,7112,Alberto Conti,7865,Piattaforma Saturno,Data Analyst & Data Modeler,Experienced,Novice,Beginner,Novice,Novice,Novice,Novice,Experienced,Novice,Novice,Novice,Novice,Experienced,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Beginner,Novice,Novice,Experienced,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Beginner,Experienced,Novice,Novice,Beginner,Beginner,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice
9313,Pietro Costa,M,I&D,AI and Data Engineering,IT01PR45,MILANO,SENIOR CONSULTANT,7112,Alberto Conti,8196,Iniziativa Ulisse,Engagement Manager e/o Project Leader,Master,Experienced,Master,Novice,Novice,Novice,Novice,Master,Beginner,Novice,Experienced,Novice,Master,Novice,Beginner,Novice,Novice,Novice,Novice,Experienced,Novice,Beginner,Novice,Novice,Novice,Experienced,,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Beginner,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice
9010,Antonio Rinaldi,M,I&D,AI and Data Engineering,IT01PR45,NAPOLI,ANALYST CONSULTANT,7112,Alberto Conti,7865,Piattaforma Saturno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9217,Daniele Caruso,M,I&D,,,NAPOLI,CONSULTANT,7112,Alberto Conti,,Progetto Chimera,Data Engineer & ETL Specialist,Master,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Experienced,Novice,Experienced,Novice,Beginner,Novice,Novice,Novice,Novice,Experienced,Novice,Experienced,Novice,Novice,Novice,Novice,Novice,Beginner,Beginner,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Beginner,Novice,Novice,Novice,Novice,Novice,Novice,Master,Beginner,Beginner,Novice,Novice,Novice,Novice,Novice,Novice,Novice
8813,Matteo Santoro,M,I&D,AI and Data Engineering,IT01PR45,TORINO,CONSULTANT,7112,Alberto Conti,7475,Programma Cassiopea,Data Engineer & SW Developer/Specialist,Master,Master,Master,Novice,Beginner,Beginner,Beginner,Master,Experienced,Experienced,Experienced,Novice,Master,Master,Master,Novice,Novice,Novice,Novice,Master,Experienced,Novice,Beginner,Novice,Novice,Master,Master,Novice,Novice,Novice,Master,Novice,Novice,Novice,Novice,Novice,Novice,Beginner,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice
9371,Stefano Barbieri,M,I&D,AI and Data Engineering,IT01PR45,BOLOGNA,CONSULTANT,7112,Alberto Conti,8813,Progetto Dedalo,Data Engineer & ETL Specialist,Experienced,,,,,,,Experienced,,,,,Experienced,,Experienced,Beginner,,,,,Beginner,,,,,,,,Novice,,,,,,Novice,,,,,,,,,,,,,,,,,,,,
9472,Monica Bruno,F,I&D,,,ROMA,CONSULTANT,7112,Alberto Conti,7871,Iniziativa Grifone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9169,Stefano Rizzo,M,I&D,AI and Data Engineering,IT01PR45,MARCON,ANALYST CONSULTANT,7112,Alberto Conti,20206,Piattaforma Eolo,Data Engineer & ETL Specialist,Master,Experienced,Novice,Novice,Experienced,Beginner,Novice,Master,Novice,Novice,Beginner,,Master,,,,,,,Experienced,,Beginner,Beginner,,,Experienced,,,,Master,,,,,,,,Beginner,Beginner,,,Beginner,,,Beginner,,,,,,,,,,
9222,Cristiano Gallo,M,I&D,AI and Data Engineering,IT01PR45,NAPOLI,SENIOR CONSULTANT,7112,Alberto Conti,8182,Programma Cerbero,Senior Consultant e/o team leader,Master,,,,,,,Master,,,Experienced,,Experienced,Experienced,Beginner,,,,,Beginner,Beginner,,,,,,Master,Novice,,,,,,,,,,,Beginner,,,,,,,,,,,,,,,,
9121,Federico Rinaldi,M,I&D,AI and Data Engineering,IT01PR45,ROMA,CONSULTANT,7112,Alberto Conti,7871,Iniziativa Grifone,Data Engineer & ETL Specialist,Experienced,Beginner,Beginner,Novice,Novice,Novice,Novice,Experienced,Novice,Novice,Experienced,Novice,Experienced,Experienced,Experienced,Novice,Novice,Novice,Novice,Beginner,Experienced,Novice,Novice,Novice,Novice,Novice,Experienced,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Beginner,Novice,Novice,Novice,Beginner,Novice,Beginner
9073,Riccardo Bellini,M,I&D,,,ROMA,SENIOR CONSULTANT,7112,Alberto Conti,7871,Iniziativa Grifone,Data Engineer & ETL Specialist,Master,Novice,,,,,,Master,,,,,Master,Master,Master,,,,,,Experienced,,,,,Beginner,Master,Beginner,,,Beginner,,,,,,,,,,,,,,,,,,,,,,,,
9031,Alessandro Bruno,M,I&D,AI and Data Engineering,IT01PR45,ROMA,CONSULTANT,7112,Alberto Conti,10632,Iniziativa Ulisse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9439,Andrea Fabbri,M,I&D,AI and Data Engineering,IT01PR45,BOLOGNA,ANALYST CONSULTANT,7112,Alberto Conti,8641,Piattaforma Andromeda,Big Data Engineer,Experienced,Experienced,Novice,Beginner,Master,Beginner,Novice,Experienced,Novice,Novice,Experienced,Master,Beginner,Beginner,Beginner,Novice,Novice,Novice,Novice,Experienced,Beginner,Novice,Novice,Novice,Novice,Experienced,Novice,Beginner,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Beginner,Novice,Novice,Beginner,Novice,Master,Experienced,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice
9051,Riccardo Giordano,M,I&D,AI and Data Engineering,IT01PR45,BOLOGNA,ANALYST CONSULTANT,7112,Alberto Conti,,Progetto Chimera,,,,,,,,,,,,,,,,,,,,,,,,,,,,Experienced,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8518,Daniele Romano,M,I&D,AI and Data Engineering,IT01PR45,BOLOGNA,SENIOR CONSULTANT,7112,Alberto Conti,8338,Piattaforma Orione,Data Engineer & ETL Specialist,Master,Beginner,Beginner,Novice,Novice,Novice,Novice,Experienced,Novice,Novice,Beginner,Beginner,Experienced,Novice,Novice,Novice,Novice,Novice,Novice,Beginner,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Experienced,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Experienced,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice
8937,Alberto Romano,M,I&D,AI and Data Engineering,IT01PR45,MILANO,ANALYST CONSULTANT,7112,Alberto Conti,8641,Piattaforma Andromeda,Data Engineer & SW Developer/Specialist,Experienced,Experienced,Novice,Novice,Beginner,Novice,Novice,Beginner,Novice,Novice,Novice,Beginner,Experienced,Novice,Novice,Novice,Novice,Novice,Novice,Beginner,Novice,Beginner,Novice,Novice,Novice,Experienced,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Beginner,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice
9038,Antonio Fontana,M,I&D,AI and Data Engineering,IT01PR45,ROMA,SENIOR CONSULTANT,7112,Alberto Conti,8338,Piattaforma Orione,Big Data Engineer,Experienced,Experienced,Novice,Beginner,Beginner,Experienced,Novice,Experienced,Novice,Novice,Novice,Novice,Experienced,Beginner,Experienced,Novice,Novice,Novice,Novice,Experienced,Experienced,Beginner,Beginner,Novice,Novice,Novice,Beginner,Experienced,Novice,Experienced,Novice,Novice,Beginner,Novice,Novice,Novice,Novice,Beginner,Experienced,Beginner,Novice,Novice,Experienced,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice
8543,Riccardo Greco,M,I&D,AI and Data Engineering,IT01PR45,MILANO,ANALYST CONSULTANT,7112,Alberto Conti,8641,Piattaforma Andromeda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
